Algorithm,x86-64 from clang,WASM from clang,WASM from emcc,asm.js from emcc
2mm,3520,13846,15550,23049
3mm,3598,13886,15594,23110
adi,3998,14122,15775,23589
atax,3484,13640,15438,22961
bicg,3360,13703,15472,23038
cholesky,3988,13835,15541,23207
correlation,3804,13812,15601,23157
covariance,3477,13701,15494,23047
deriche,3956,13814,15585,23294
doitgen,3911,13734,15466,23039
durbin,3488,13611,15380,22995
fdtd-2d,4258,13840,15646,23205
floyd-warshall,3465,13623,15322,22828
gemm,3567,13709,15472,22998
gemver,3887,13760,15559,23110
gesummv,3250,13664,15455,22960
gramschmidt,3629,13823,15603,23196
heat-3d,3747,13766,15499,23270
jacobi-1d,3386,13546,15350,22984
jacobi-2d,3443,13661,15428,23050
lu,3975,13817,15499,23148
ludcmp,4374,13966,15703,23312
mvt,3393,13679,15477,22974
nussinov,3576,13699,15475,23061
seidel-2d,3205,13668,15408,22944
symm,3866,13825,15559,23165
syr2k,3937,13757,15504,23063
syrk,3880,13690,15430,22923
trisolv,3261,13630,15433,22978
trmm,3513,13733,15456,22966
