Algorithm,x86-64,Node.js (asm.js),SpiderMonkey (asm.js),Node.js (WASM),SpiderMonkey (WASM),Wasmtime,Wasmer,WAVM
2mm,0.0038415687994965233,0.034270277600201855,0.029577279199535646,0.04092716386658139,0.03443279959804689,0.07961918286644144,0.060799189733402655,0.3562959556006499
3mm,0.003651888600314616,0.03499635433181538,0.032701854663901034,0.040770941134057166,0.03229412885848433,0.08050534686611949,0.06424653959938477,0.35773932860067814
adi,0.004937254599373849,0.033481767267464116,0.03133756220340729,0.04094762653427703,0.032609783865821855,0.07778122873295483,0.06429910593401758,0.36301723913344214
atax,0.0036502304000369653,0.03570502333338178,0.032255659058379633,0.04086325166742123,0.033412052136069785,0.07906387353417112,0.05970684020030603,0.3515785340664043
bicg,0.0037313985324307925,0.03208912286548487,0.02788619832523788,0.039772584265301704,0.033557189135657,0.07832118906647262,0.06188453840048661,0.35511655839887624
cholesky,0.004448566332471652,0.034877010733665274,0.030602031934540717,0.040485377466635934,0.033695994208877283,0.07543057919895185,0.06287862980014818,0.36703326613333426
correlation,0.0035471152658468935,0.03164889159913097,0.027611379123603303,0.04109364686713282,0.03374439847345154,0.0764593978670329,0.05965309286680167,0.36023944813421166
covariance,0.003774965066365136,0.03133953433280112,0.02801760521251708,0.04192415359987838,0.03457942993069688,0.0846815751338075,0.06745403979911278,0.3723924704002542
deriche,0.004723827931976151,0.033842796799581264,0.0308099510652634,0.040124153599269144,0.03334790979667256,0.07738013900063455,0.0643651075995109,0.3740980602669803
doitgen,0.003637376799520098,0.032606923800631196,0.028615039866417648,0.0398958657332211,0.03436071653074275,0.07745690186634799,0.06330188133313186,0.35350778293358
durbin,0.0042652783336848184,0.03249684853290091,0.030349484462446223,0.041025360467513865,0.03316350259507696,0.07633552226661587,0.06366230320015517,0.37319601166647753
fdtd-2d,0.0054154828001192834,0.03308006386675212,0.03232602833304554,0.039980248466599734,0.032394357468001546,0.0778685464004288,0.06361113853394045,0.36316045500064054
floyd-warshall,0.0045825445993358475,0.03257177793445105,0.032844381340934585,0.04070906333290623,0.03197452218737453,0.07794032899953342,0.06129339193331305,0.3746113447331017
gemm,0.00360912960034625,0.032742937734292356,0.030182929802685977,0.04118850546825949,0.033543167003275205,0.07713138220130607,0.06341373806653981,0.37549149700031137
gemver,0.004349513066076346,0.035196179133102606,0.03162612173473463,0.040216548999160294,0.033280261668066184,0.07608919966620438,0.06210930906761879,0.382928673066174
gesummv,0.003712145733522713,0.033468627466209,0.03195444087032229,0.039675741666724204,0.03210073112665365,0.07624828326660046,0.06386766946694043,0.35237121399899723
gramschmidt,0.004438708132731032,0.03517440439973143,0.029543666537695874,0.040712024000580035,0.03348778733440364,0.07620323666586538,0.06105336286647874,0.37090266153389373
heat-3d,0.004985371799725158,0.03413875913392985,0.03022508866076047,0.040851848799502474,0.033675343655825904,0.07477773799944316,0.06271704433390066,0.38259992833215317
jacobi-1d,0.004939914399881218,0.03351591693305333,0.03223013652410979,0.03984221059945412,0.033228043540536115,0.07538561740074953,0.06101592033315247,0.3529784041330534
jacobi-2d,0.005169213466580421,0.033408810333154786,0.02958633566352849,0.04136581300044782,0.03342914133875941,0.07539085420020228,0.061471134800483655,0.35768464020002
lu,0.004701692666839108,0.033724530866796464,0.03153140986493478,0.04085455473347489,0.032740011671558024,0.07659315366675419,0.0644530874007747,0.3715751358664827
ludcmp,0.00413122493290435,0.034231519933139984,0.02991751054069027,0.04080508140056433,0.0334928288590163,0.07753818299996833,0.06326928906601002,0.376413729200245
mvt,0.003551196333696301,0.032068246800190534,0.02766401132491107,0.04048218453293278,0.03272906952770427,0.07701081006595985,0.05949293526590793,0.35500792386681324
nussinov,0.004513817866665212,0.03253676000022097,0.03198190967474754,0.040109150999099556,0.03250394365750253,0.07632975666555429,0.061547544267068585,0.37208209260014086
seidel-2d,0.004887707999236568,0.034720207866485,0.029103753118154902,0.040658142065998014,0.03353728553823506,0.07667038766643847,0.06092916646685372,0.36349557113315617
symm,0.004042584266179953,0.03393341366609093,0.032298193134677904,0.04004339220045949,0.03341960867401213,0.07828254953387556,0.059909699266620466,0.3777500214666655
syr2k,0.003673253400925584,0.03425329373276327,0.029451216062686095,0.04152120246581035,0.03370220633999755,0.07776539399974448,0.0649932457342383,0.36233705066682
syrk,0.003848745866465227,0.032629696533695095,0.03059750992882376,0.04015875666664215,0.03237700139870867,0.07877159333323978,0.06266994179865151,0.3526773801322482
trisolv,0.003926852933887896,0.03269284833343893,0.03172356466917942,0.04000279746784751,0.0332109372674798,0.07515277806669664,0.06153238526564166,0.38403447820024705
trmm,0.00397011859965725,0.034910358866666984,0.030840443396785606,0.04112112246633236,0.03380237699796756,0.07715531686698114,0.06465998160002755,0.3708021876003367
