type,name,test,value
binary-size,emccwasm,covariance,38739
binary-size,emccwasm,correlation,38956
binary-size,emccwasm,mvt,38785
binary-size,emccwasm,bicg,38692
binary-size,emccwasm,doitgen,38723
binary-size,emccwasm,2mm,38933
binary-size,emccwasm,atax,38587
binary-size,emccwasm,3mm,39087
binary-size,emccwasm,gesummv,38608
binary-size,emccwasm,syrk,38630
binary-size,emccwasm,gemm,38720
binary-size,emccwasm,syr2k,38727
binary-size,emccwasm,trmm,38674
binary-size,emccwasm,gemver,38926
binary-size,emccwasm,symm,38899
binary-size,emccwasm,trisolv,38527
binary-size,emccwasm,durbin,38467
binary-size,emccwasm,ludcmp,39215
binary-size,emccwasm,gramschmidt,38960
binary-size,emccwasm,cholesky,38864
binary-size,emccwasm,lu,38848
binary-size,emccwasm,floyd-warshall,38383
binary-size,emccwasm,nussinov,38614
binary-size,emccwasm,deriche,39071
binary-size,emccwasm,heat-3d,38952
binary-size,emccwasm,seidel-2d,38531
binary-size,emccwasm,jacobi-2d,38663
binary-size,emccwasm,adi,39514
binary-size,emccwasm,fdtd-2d,39188
binary-size,emccwasm,jacobi-1d,38415
