type,name,test,value
binary-size,js,covariance,66113
binary-size,js,correlation,66561
binary-size,js,mvt,66124
binary-size,js,bicg,66361
binary-size,js,doitgen,66193
binary-size,js,2mm,66535
binary-size,js,atax,66056
binary-size,js,3mm,66884
binary-size,js,gesummv,65789
binary-size,js,syrk,65900
binary-size,js,gemm,66089
binary-size,js,syr2k,66081
binary-size,js,trmm,65953
binary-size,js,gemver,66360
binary-size,js,symm,66335
binary-size,js,trisolv,65690
binary-size,js,durbin,65509
binary-size,js,ludcmp,67411
binary-size,js,gramschmidt,66617
binary-size,js,cholesky,66522
binary-size,js,lu,66505
binary-size,js,floyd-warshall,65737
binary-size,js,nussinov,65881
binary-size,js,deriche,67150
binary-size,js,heat-3d,67184
binary-size,js,seidel-2d,65998
binary-size,js,jacobi-2d,65941
binary-size,js,adi,67815
binary-size,js,fdtd-2d,67086
binary-size,js,jacobi-1d,65398
