type,name,test,value
binary-size,wasm,covariance,35495
binary-size,wasm,correlation,35795
binary-size,wasm,mvt,35678
binary-size,wasm,bicg,35587
binary-size,wasm,doitgen,35488
binary-size,wasm,2mm,35886
binary-size,wasm,atax,35369
binary-size,wasm,3mm,36205
binary-size,wasm,gesummv,35454
binary-size,wasm,syrk,35311
binary-size,wasm,gemm,35479
binary-size,wasm,syr2k,35495
binary-size,wasm,trmm,35401
binary-size,wasm,gemver,36074
binary-size,wasm,symm,35724
binary-size,wasm,trisolv,35228
binary-size,wasm,durbin,35145
binary-size,wasm,ludcmp,36206
binary-size,wasm,gramschmidt,35819
binary-size,wasm,cholesky,35653
binary-size,wasm,lu,35659
binary-size,wasm,floyd-warshall,35130
binary-size,wasm,nussinov,35282
binary-size,wasm,deriche,36026
binary-size,wasm,heat-3d,35671
binary-size,wasm,seidel-2d,35189
binary-size,wasm,jacobi-2d,35387
binary-size,wasm,adi,36526
binary-size,wasm,fdtd-2d,36213
binary-size,wasm,jacobi-1d,35096
