type,name,test,value
binary-size,wasmsimd,covariance,35525
binary-size,wasmsimd,correlation,35850
binary-size,wasmsimd,mvt,35678
binary-size,wasmsimd,bicg,35587
binary-size,wasmsimd,doitgen,35488
binary-size,wasmsimd,2mm,35886
binary-size,wasmsimd,atax,35406
binary-size,wasmsimd,3mm,36205
binary-size,wasmsimd,gesummv,35454
binary-size,wasmsimd,syrk,35311
binary-size,wasmsimd,gemm,35479
binary-size,wasmsimd,syr2k,35495
binary-size,wasmsimd,trmm,35401
binary-size,wasmsimd,gemver,36074
binary-size,wasmsimd,symm,35724
binary-size,wasmsimd,trisolv,35400
binary-size,wasmsimd,durbin,35186
binary-size,wasmsimd,ludcmp,36628
binary-size,wasmsimd,gramschmidt,35819
binary-size,wasmsimd,cholesky,35820
binary-size,wasmsimd,lu,35826
binary-size,wasmsimd,floyd-warshall,35297
binary-size,wasmsimd,nussinov,35551
binary-size,wasmsimd,deriche,36365
binary-size,wasmsimd,heat-3d,35892
binary-size,wasmsimd,seidel-2d,35244
binary-size,wasmsimd,jacobi-2d,35646
binary-size,wasmsimd,adi,36583
binary-size,wasmsimd,fdtd-2d,36572
binary-size,wasmsimd,jacobi-1d,35305
