type,name,test,value
binary-size,x8664generic,covariance,14480
binary-size,x8664generic,correlation,14488
binary-size,x8664generic,mvt,14480
binary-size,x8664generic,bicg,14488
binary-size,x8664generic,doitgen,14480
binary-size,x8664generic,2mm,14480
binary-size,x8664generic,atax,14488
binary-size,x8664generic,3mm,14480
binary-size,x8664generic,gesummv,14480
binary-size,x8664generic,syrk,14480
binary-size,x8664generic,gemm,14480
binary-size,x8664generic,syr2k,14480
binary-size,x8664generic,trmm,14480
binary-size,x8664generic,gemver,14480
binary-size,x8664generic,symm,14480
binary-size,x8664generic,trisolv,14480
binary-size,x8664generic,durbin,14488
binary-size,x8664generic,ludcmp,14488
binary-size,x8664generic,gramschmidt,14496
binary-size,x8664generic,cholesky,14496
binary-size,x8664generic,lu,14488
binary-size,x8664generic,floyd-warshall,14480
binary-size,x8664generic,nussinov,14488
binary-size,x8664generic,deriche,14480
binary-size,x8664generic,heat-3d,14480
binary-size,x8664generic,seidel-2d,14480
binary-size,x8664generic,jacobi-2d,14480
binary-size,x8664generic,adi,14480
binary-size,x8664generic,fdtd-2d,14480
binary-size,x8664generic,jacobi-1d,14480
