type,name,test,value
execution-time,nodejs,covariance,6.077
execution-time,nodejs,correlation,6.027
execution-time,nodejs,mvt,0.037
execution-time,nodejs,bicg,0.017
execution-time,nodejs,doitgen,0.853
execution-time,nodejs,2mm,5.564
execution-time,nodejs,atax,0.021
execution-time,nodejs,3mm,10.275
execution-time,nodejs,gesummv,0.011
execution-time,nodejs,syrk,1.946
execution-time,nodejs,gemm,2.743
execution-time,nodejs,syr2k,5.902
execution-time,nodejs,trmm,2.528
execution-time,nodejs,gemver,0.06
execution-time,nodejs,symm,4.419
execution-time,nodejs,trisolv,0.009
execution-time,nodejs,durbin,0.015
execution-time,nodejs,ludcmp,11.125
execution-time,nodejs,gramschmidt,9.65
execution-time,nodejs,cholesky,2.619
execution-time,nodejs,lu,11.565
execution-time,nodejs,floyd-warshall,40.033
execution-time,nodejs,nussinov,11.293
execution-time,nodejs,deriche,0.597
execution-time,nodejs,heat-3d,8.019
execution-time,nodejs,seidel-2d,19.663
execution-time,nodejs,jacobi-2d,5.852
execution-time,nodejs,adi,9.166
execution-time,nodejs,fdtd-2d,4.801
execution-time,nodejs,jacobi-1d,0.01
