type,name,test,value
execution-time,nodejswasm,covariance,5.796
execution-time,nodejswasm,correlation,5.904
execution-time,nodejswasm,mvt,0.021
execution-time,nodejswasm,bicg,0.009
execution-time,nodejswasm,doitgen,0.564
execution-time,nodejswasm,2mm,4.407
execution-time,nodejswasm,atax,0.007
execution-time,nodejswasm,3mm,7.801
execution-time,nodejswasm,gesummv,0.004
execution-time,nodejswasm,syrk,1.531
execution-time,nodejswasm,gemm,1.811
execution-time,nodejswasm,syr2k,5.184
execution-time,nodejswasm,trmm,2.315
execution-time,nodejswasm,gemver,0.028
execution-time,nodejswasm,symm,3.665
execution-time,nodejswasm,trisolv,0.002
execution-time,nodejswasm,durbin,0.004
execution-time,nodejswasm,ludcmp,8.796
execution-time,nodejswasm,gramschmidt,10.078
execution-time,nodejswasm,cholesky,1.521
execution-time,nodejswasm,lu,8.935
execution-time,nodejswasm,floyd-warshall,35.357
execution-time,nodejswasm,nussinov,8.186
execution-time,nodejswasm,deriche,0.236
execution-time,nodejswasm,heat-3d,4.613
execution-time,nodejswasm,seidel-2d,20.54
execution-time,nodejswasm,jacobi-2d,2.916
execution-time,nodejswasm,adi,8.897
execution-time,nodejswasm,fdtd-2d,3.163
execution-time,nodejswasm,jacobi-1d,0.002
