type,name,test,value
execution-time,spidermonkey,covariance,6.328
execution-time,spidermonkey,correlation,6.301
execution-time,spidermonkey,mvt,0.038
execution-time,spidermonkey,bicg,0.025
execution-time,spidermonkey,doitgen,1.721
execution-time,spidermonkey,2mm,7.699
execution-time,spidermonkey,atax,0.029
execution-time,spidermonkey,3mm,16.143
execution-time,spidermonkey,gesummv,0.013
execution-time,spidermonkey,syrk,2.94
execution-time,spidermonkey,gemm,4.99
execution-time,spidermonkey,syr2k,7.419
execution-time,spidermonkey,trmm,2.866
execution-time,spidermonkey,gemver,0.066
execution-time,spidermonkey,symm,5.334
execution-time,spidermonkey,trisolv,0.009
execution-time,spidermonkey,durbin,0.02
execution-time,spidermonkey,ludcmp,13.779
execution-time,spidermonkey,gramschmidt,9.546
execution-time,spidermonkey,cholesky,3.261
execution-time,spidermonkey,lu,13.328
execution-time,spidermonkey,floyd-warshall,73.393
execution-time,spidermonkey,nussinov,28.577
execution-time,spidermonkey,deriche,0.394
execution-time,spidermonkey,heat-3d,30.094
execution-time,spidermonkey,seidel-2d,18.933
execution-time,spidermonkey,jacobi-2d,10.904
execution-time,spidermonkey,adi,12.468
execution-time,spidermonkey,fdtd-2d,7.932
execution-time,spidermonkey,jacobi-1d,0.016
