type,name,test,value
execution-time,spidermonkeywasm,covariance,5.969
execution-time,spidermonkeywasm,correlation,5.955
execution-time,spidermonkeywasm,mvt,0.022
execution-time,spidermonkeywasm,bicg,0.011
execution-time,spidermonkeywasm,doitgen,1.094
execution-time,spidermonkeywasm,2mm,4.79
execution-time,spidermonkeywasm,atax,0.009
execution-time,spidermonkeywasm,3mm,7.884
execution-time,spidermonkeywasm,gesummv,0.004
execution-time,spidermonkeywasm,syrk,1.647
execution-time,spidermonkeywasm,gemm,2.434
execution-time,spidermonkeywasm,syr2k,5.376
execution-time,spidermonkeywasm,trmm,2.449
execution-time,spidermonkeywasm,gemver,0.028
execution-time,spidermonkeywasm,symm,3.917
execution-time,spidermonkeywasm,trisolv,0.003
execution-time,spidermonkeywasm,durbin,0.007
execution-time,spidermonkeywasm,ludcmp,8.809
execution-time,spidermonkeywasm,gramschmidt,9.837
execution-time,spidermonkeywasm,cholesky,1.576
execution-time,spidermonkeywasm,lu,9.001
execution-time,spidermonkeywasm,floyd-warshall,40.517
execution-time,spidermonkeywasm,nussinov,8.53
execution-time,spidermonkeywasm,deriche,0.249
execution-time,spidermonkeywasm,heat-3d,4.995
execution-time,spidermonkeywasm,seidel-2d,19.599
execution-time,spidermonkeywasm,jacobi-2d,3.652
execution-time,spidermonkeywasm,adi,8.466
execution-time,spidermonkeywasm,fdtd-2d,3.622
execution-time,spidermonkeywasm,jacobi-1d,0.003
