type,name,test,value
execution-time,wasmer,covariance,6.815387
execution-time,wasmer,correlation,6.726449
execution-time,wasmer,mvt,0.031441
execution-time,wasmer,bicg,0.024578
execution-time,wasmer,doitgen,1.256865
execution-time,wasmer,2mm,7.798303
execution-time,wasmer,atax,0.021087
execution-time,wasmer,3mm,15.546239
execution-time,wasmer,gesummv,0.009773
execution-time,wasmer,syrk,3.720587
execution-time,wasmer,gemm,3.735044
execution-time,wasmer,syr2k,9.827473
execution-time,wasmer,trmm,2.948385
execution-time,wasmer,gemver,0.049734
execution-time,wasmer,symm,6.498218
execution-time,wasmer,trisolv,0.004414
execution-time,wasmer,durbin,0.012787
execution-time,wasmer,ludcmp,12.415262
execution-time,wasmer,gramschmidt,9.978222
execution-time,wasmer,cholesky,2.890874
execution-time,wasmer,lu,13.609243
execution-time,wasmer,floyd-warshall,84.040895
execution-time,wasmer,nussinov,13.746176
execution-time,wasmer,deriche,0.253559
execution-time,wasmer,heat-3d,11.316777
execution-time,wasmer,seidel-2d,21.62163
execution-time,wasmer,jacobi-2d,7.910088
execution-time,wasmer,adi,10.019539
execution-time,wasmer,fdtd-2d,7.184821
execution-time,wasmer,jacobi-1d,0.006543
