type,name,test,value
execution-time,wasmerllvm,covariance,7.456868
execution-time,wasmerllvm,correlation,7.424862
execution-time,wasmerllvm,mvt,0.041952
execution-time,wasmerllvm,bicg,0.023102
execution-time,wasmerllvm,doitgen,2.19857
execution-time,wasmerllvm,2mm,8.702273
execution-time,wasmerllvm,atax,0.027251
execution-time,wasmerllvm,3mm,16.447786
execution-time,wasmerllvm,gesummv,0.009025
execution-time,wasmerllvm,syrk,3.094618
execution-time,wasmerllvm,gemm,4.279662
execution-time,wasmerllvm,syr2k,8.659212
execution-time,wasmerllvm,trmm,3.309875
execution-time,wasmerllvm,gemver,0.065314
execution-time,wasmerllvm,symm,5.786141
execution-time,wasmerllvm,trisolv,0.008328
execution-time,wasmerllvm,durbin,0.018074
execution-time,wasmerllvm,ludcmp,13.994153
execution-time,wasmerllvm,gramschmidt,9.918733
execution-time,wasmerllvm,cholesky,5.485356
execution-time,wasmerllvm,lu,14.680023
execution-time,wasmerllvm,floyd-warshall,53.42115
execution-time,wasmerllvm,nussinov,11.972282
execution-time,wasmerllvm,deriche,0.469875
execution-time,wasmerllvm,heat-3d,20.386934
execution-time,wasmerllvm,seidel-2d,43.825346
execution-time,wasmerllvm,jacobi-2d,12.198878
execution-time,wasmerllvm,adi,20.692792
execution-time,wasmerllvm,fdtd-2d,9.58586
execution-time,wasmerllvm,jacobi-1d,0.008249
