type,name,test,value
execution-time,wasmersinglepass,covariance,7.691348
execution-time,wasmersinglepass,correlation,7.884981
execution-time,wasmersinglepass,mvt,0.046117
execution-time,wasmersinglepass,bicg,0.038482
execution-time,wasmersinglepass,doitgen,2.207898
execution-time,wasmersinglepass,2mm,10.291757
execution-time,wasmersinglepass,atax,0.035281
execution-time,wasmersinglepass,3mm,21.444814
execution-time,wasmersinglepass,gesummv,0.014525
execution-time,wasmersinglepass,syrk,4.527619
execution-time,wasmersinglepass,gemm,6.927837
execution-time,wasmersinglepass,syr2k,12.280421
execution-time,wasmersinglepass,trmm,3.369452
execution-time,wasmersinglepass,gemver,0.073068
execution-time,wasmersinglepass,symm,7.140325
execution-time,wasmersinglepass,trisolv,0.009197
execution-time,wasmersinglepass,durbin,0.024869
execution-time,wasmersinglepass,ludcmp,14.533491
execution-time,wasmersinglepass,gramschmidt,10.588118
execution-time,wasmersinglepass,cholesky,6.591684
execution-time,wasmersinglepass,lu,17.945023
execution-time,wasmersinglepass,floyd-warshall,138.626706
execution-time,wasmersinglepass,nussinov,17.55704
execution-time,wasmersinglepass,deriche,0.353445
execution-time,wasmersinglepass,heat-3d,18.388985
execution-time,wasmersinglepass,seidel-2d,22.891472
execution-time,wasmersinglepass,jacobi-2d,13.838018
execution-time,wasmersinglepass,adi,15.17122
execution-time,wasmersinglepass,fdtd-2d,11.850734
execution-time,wasmersinglepass,jacobi-1d,0.012537
