type,name,test,value
execution-time,wasmtimecranelift,covariance,8.903358
execution-time,wasmtimecranelift,correlation,8.926481
execution-time,wasmtimecranelift,mvt,0.044905
execution-time,wasmtimecranelift,bicg,0.03453
execution-time,wasmtimecranelift,doitgen,2.676128
execution-time,wasmtimecranelift,2mm,12.750017
execution-time,wasmtimecranelift,atax,0.027796
execution-time,wasmtimecranelift,3mm,25.668262
execution-time,wasmtimecranelift,gesummv,0.017207
execution-time,wasmtimecranelift,syrk,5.682994
execution-time,wasmtimecranelift,gemm,7.038806
execution-time,wasmtimecranelift,syr2k,15.116657
execution-time,wasmtimecranelift,trmm,4.008799
execution-time,wasmtimecranelift,gemver,0.080068
execution-time,wasmtimecranelift,symm,8.779292
execution-time,wasmtimecranelift,trisolv,0.006284
execution-time,wasmtimecranelift,durbin,0.022503
execution-time,wasmtimecranelift,ludcmp,16.033277
execution-time,wasmtimecranelift,gramschmidt,13.327521
execution-time,wasmtimecranelift,cholesky,5.585489
execution-time,wasmtimecranelift,lu,20.827341
execution-time,wasmtimecranelift,floyd-warshall,142.721444
execution-time,wasmtimecranelift,nussinov,20.781952
execution-time,wasmtimecranelift,deriche,0.381151
execution-time,wasmtimecranelift,heat-3d,21.703442
execution-time,wasmtimecranelift,seidel-2d,21.682548
execution-time,wasmtimecranelift,jacobi-2d,15.767139
execution-time,wasmtimecranelift,adi,19.721865
execution-time,wasmtimecranelift,fdtd-2d,13.261718
execution-time,wasmtimecranelift,jacobi-1d,0.014307
