type,name,test,value
execution-time,wasmtimecraneliftoptimized,2mm,10.525368
execution-time,wasmtimecraneliftoptimized,3mm,19.89602
execution-time,wasmtimecraneliftoptimized,adi,10.712946
execution-time,wasmtimecraneliftoptimized,atax,0.024983
execution-time,wasmtimecraneliftoptimized,bicg,0.024237
execution-time,wasmtimecraneliftoptimized,cholesky,2.826981
execution-time,wasmtimecraneliftoptimized,correlation,9.053594
execution-time,wasmtimecraneliftoptimized,covariance,8.886165
execution-time,wasmtimecraneliftoptimized,deriche,0.273683
execution-time,wasmtimecraneliftoptimized,doitgen,1.276144
execution-time,wasmtimecraneliftoptimized,durbin,0.02394
execution-time,wasmtimecraneliftoptimized,fdtd-2d,5.883634
execution-time,wasmtimecraneliftoptimized,floyd-warshall,76.658488
execution-time,wasmtimecraneliftoptimized,gemm,3.613328
execution-time,wasmtimecraneliftoptimized,gemver,0.114023
execution-time,wasmtimecraneliftoptimized,gesummv,0.014275
execution-time,wasmtimecraneliftoptimized,gramschmidt,19.556671
execution-time,wasmtimecraneliftoptimized,heat-3d,11.424932
execution-time,wasmtimecraneliftoptimized,jacobi-1d,0.006411
execution-time,wasmtimecraneliftoptimized,jacobi-2d,7.794782
execution-time,wasmtimecraneliftoptimized,lu,14.693636
execution-time,wasmtimecraneliftoptimized,ludcmp,18.956072
execution-time,wasmtimecraneliftoptimized,mvt,0.035894
execution-time,wasmtimecraneliftoptimized,nussinov,18.381781
execution-time,wasmtimecraneliftoptimized,seidel-2d,21.423985
execution-time,wasmtimecraneliftoptimized,symm,11.670077
execution-time,wasmtimecraneliftoptimized,syr2k,15.036725
execution-time,wasmtimecraneliftoptimized,syrk,7.901102
execution-time,wasmtimecraneliftoptimized,trisolv,0.006896
execution-time,wasmtimecraneliftoptimized,trmm,7.581895
