type,name,test,value
execution-time,wavm,2mm,3.932905
execution-time,wavm,3mm,6.526851
execution-time,wavm,adi,8.240785
execution-time,wavm,atax,0.006623
execution-time,wavm,bicg,0.008874
execution-time,wavm,cholesky,1.42861
execution-time,wavm,correlation,5.814078
execution-time,wavm,covariance,5.891408
execution-time,wavm,deriche,0.233828
execution-time,wavm,doitgen,0.532663
execution-time,wavm,durbin,0.005156
execution-time,wavm,fdtd-2d,2.153698
execution-time,wavm,floyd-warshall,17.256484
execution-time,wavm,gemm,1.098848
execution-time,wavm,gemver,0.025286
execution-time,wavm,gesummv,0.003836
execution-time,wavm,gramschmidt,10.206345
execution-time,wavm,heat-3d,4.531798
execution-time,wavm,jacobi-1d,0.001966
execution-time,wavm,jacobi-2d,2.714246
execution-time,wavm,lu,8.104357
execution-time,wavm,ludcmp,7.732875
execution-time,wavm,mvt,0.019949
execution-time,wavm,nussinov,6.454698
execution-time,wavm,seidel-2d,18.500448
execution-time,wavm,symm,3.618468
execution-time,wavm,syr2k,5.428112
execution-time,wavm,syrk,1.332642
execution-time,wavm,trisolv,0.002178
execution-time,wavm,trmm,2.278056
