type,name,test,value
execution-time,wavmsimd,covariance,5.900392
execution-time,wavmsimd,correlation,5.902165
execution-time,wavmsimd,mvt,0.020594
execution-time,wavmsimd,bicg,0.009388
execution-time,wavmsimd,doitgen,0.531758
execution-time,wavmsimd,2mm,3.786449
execution-time,wavmsimd,atax,0.007189
execution-time,wavmsimd,3mm,6.492281
execution-time,wavmsimd,gesummv,0.004088
execution-time,wavmsimd,syrk,1.40756
execution-time,wavmsimd,gemm,1.217999
execution-time,wavmsimd,syr2k,5.130459
execution-time,wavmsimd,trmm,2.342491
execution-time,wavmsimd,gemver,0.025973
execution-time,wavmsimd,symm,3.398286
execution-time,wavmsimd,trisolv,0.002412
execution-time,wavmsimd,durbin,0.005069
execution-time,wavmsimd,ludcmp,8.104506
execution-time,wavmsimd,gramschmidt,10.220316
execution-time,wavmsimd,cholesky,1.511523
execution-time,wavmsimd,lu,8.29862
execution-time,wavmsimd,floyd-warshall,17.399479
execution-time,wavmsimd,nussinov,6.776937
execution-time,wavmsimd,deriche,0.228843
execution-time,wavmsimd,heat-3d,4.850719
execution-time,wavmsimd,seidel-2d,18.571771
execution-time,wavmsimd,jacobi-2d,2.967271
execution-time,wavmsimd,adi,8.304903
execution-time,wavmsimd,fdtd-2d,2.761251
execution-time,wavmsimd,jacobi-1d,0.001965
