type,name,test,value
execution-time,x8664generic,covariance,5.814308
execution-time,x8664generic,correlation,5.830541
execution-time,x8664generic,mvt,0.021446
execution-time,x8664generic,bicg,0.010842
execution-time,x8664generic,doitgen,0.520854
execution-time,x8664generic,2mm,3.08484
execution-time,x8664generic,atax,0.006596
execution-time,x8664generic,3mm,5.640026
execution-time,x8664generic,gesummv,0.004974
execution-time,x8664generic,syrk,0.932953
execution-time,x8664generic,gemm,0.738856
execution-time,x8664generic,syr2k,4.71576
execution-time,x8664generic,trmm,2.18539
execution-time,x8664generic,gemver,0.025604
execution-time,x8664generic,symm,3.288953
execution-time,x8664generic,trisolv,0.002855
execution-time,x8664generic,durbin,0.003315
execution-time,x8664generic,ludcmp,7.823863
execution-time,x8664generic,gramschmidt,10.245856
execution-time,x8664generic,cholesky,1.487051
execution-time,x8664generic,lu,8.003643
execution-time,x8664generic,floyd-warshall,16.243496
execution-time,x8664generic,nussinov,6.127941
execution-time,x8664generic,deriche,0.232903
execution-time,x8664generic,heat-3d,2.541537
execution-time,x8664generic,seidel-2d,18.575639
execution-time,x8664generic,jacobi-2d,1.748566
execution-time,x8664generic,adi,8.425053
execution-time,x8664generic,fdtd-2d,2.223612
execution-time,x8664generic,jacobi-1d,0.000859
