type,name,test,value
execution-time,x8664native,covariance,5.999175
execution-time,x8664native,correlation,5.964727
execution-time,x8664native,mvt,0.020384
execution-time,x8664native,bicg,0.010167
execution-time,x8664native,doitgen,0.518442
execution-time,x8664native,2mm,3.088947
execution-time,x8664native,atax,0.006082
execution-time,x8664native,3mm,5.786208
execution-time,x8664native,gesummv,0.004864
execution-time,x8664native,syrk,0.976046
execution-time,x8664native,gemm,0.588926
execution-time,x8664native,syr2k,5.064317
execution-time,x8664native,trmm,2.303093
execution-time,x8664native,gemver,0.026015
execution-time,x8664native,symm,3.242169
execution-time,x8664native,trisolv,0.002644
execution-time,x8664native,durbin,0.00314
execution-time,x8664native,ludcmp,7.737879
execution-time,x8664native,gramschmidt,10.243341
execution-time,x8664native,cholesky,1.479438
execution-time,x8664native,lu,8.251488
execution-time,x8664native,floyd-warshall,14.104381
execution-time,x8664native,nussinov,5.642628
execution-time,x8664native,deriche,0.231873
execution-time,x8664native,heat-3d,2.228798
execution-time,x8664native,seidel-2d,18.567508
execution-time,x8664native,jacobi-2d,1.747621
execution-time,x8664native,adi,8.401452
execution-time,x8664native,fdtd-2d,2.072734
execution-time,x8664native,jacobi-1d,0.000539
