type,name,test,value
gzip-binary-size,emccwasm,covariance,15494
gzip-binary-size,emccwasm,correlation,15601
gzip-binary-size,emccwasm,mvt,15477
gzip-binary-size,emccwasm,bicg,15472
gzip-binary-size,emccwasm,doitgen,15466
gzip-binary-size,emccwasm,2mm,15550
gzip-binary-size,emccwasm,atax,15438
gzip-binary-size,emccwasm,3mm,15594
gzip-binary-size,emccwasm,gesummv,15455
gzip-binary-size,emccwasm,syrk,15430
gzip-binary-size,emccwasm,gemm,15472
gzip-binary-size,emccwasm,syr2k,15504
gzip-binary-size,emccwasm,trmm,15456
gzip-binary-size,emccwasm,gemver,15559
gzip-binary-size,emccwasm,symm,15559
gzip-binary-size,emccwasm,trisolv,15433
gzip-binary-size,emccwasm,durbin,15380
gzip-binary-size,emccwasm,ludcmp,15703
gzip-binary-size,emccwasm,gramschmidt,15603
gzip-binary-size,emccwasm,cholesky,15541
gzip-binary-size,emccwasm,lu,15499
gzip-binary-size,emccwasm,floyd-warshall,15322
gzip-binary-size,emccwasm,nussinov,15475
gzip-binary-size,emccwasm,deriche,15585
gzip-binary-size,emccwasm,heat-3d,15499
gzip-binary-size,emccwasm,seidel-2d,15408
gzip-binary-size,emccwasm,jacobi-2d,15428
gzip-binary-size,emccwasm,adi,15775
gzip-binary-size,emccwasm,fdtd-2d,15646
gzip-binary-size,emccwasm,jacobi-1d,15350
