type,name,test,value
gzip-binary-size,js,covariance,23047
gzip-binary-size,js,correlation,23157
gzip-binary-size,js,mvt,22974
gzip-binary-size,js,bicg,23038
gzip-binary-size,js,doitgen,23039
gzip-binary-size,js,2mm,23049
gzip-binary-size,js,atax,22961
gzip-binary-size,js,3mm,23110
gzip-binary-size,js,gesummv,22960
gzip-binary-size,js,syrk,22923
gzip-binary-size,js,gemm,22998
gzip-binary-size,js,syr2k,23063
gzip-binary-size,js,trmm,22966
gzip-binary-size,js,gemver,23110
gzip-binary-size,js,symm,23165
gzip-binary-size,js,trisolv,22978
gzip-binary-size,js,durbin,22995
gzip-binary-size,js,ludcmp,23312
gzip-binary-size,js,gramschmidt,23196
gzip-binary-size,js,cholesky,23207
gzip-binary-size,js,lu,23148
gzip-binary-size,js,floyd-warshall,22828
gzip-binary-size,js,nussinov,23061
gzip-binary-size,js,deriche,23294
gzip-binary-size,js,heat-3d,23270
gzip-binary-size,js,seidel-2d,22944
gzip-binary-size,js,jacobi-2d,23050
gzip-binary-size,js,adi,23589
gzip-binary-size,js,fdtd-2d,23205
gzip-binary-size,js,jacobi-1d,22984
