type,name,test,value
gzip-binary-size,wasm,covariance,13701
gzip-binary-size,wasm,correlation,13812
gzip-binary-size,wasm,mvt,13679
gzip-binary-size,wasm,bicg,13703
gzip-binary-size,wasm,doitgen,13734
gzip-binary-size,wasm,2mm,13846
gzip-binary-size,wasm,atax,13640
gzip-binary-size,wasm,3mm,13886
gzip-binary-size,wasm,gesummv,13664
gzip-binary-size,wasm,syrk,13690
gzip-binary-size,wasm,gemm,13709
gzip-binary-size,wasm,syr2k,13757
gzip-binary-size,wasm,trmm,13733
gzip-binary-size,wasm,gemver,13760
gzip-binary-size,wasm,symm,13825
gzip-binary-size,wasm,trisolv,13630
gzip-binary-size,wasm,durbin,13611
gzip-binary-size,wasm,ludcmp,13966
gzip-binary-size,wasm,gramschmidt,13823
gzip-binary-size,wasm,cholesky,13835
gzip-binary-size,wasm,lu,13817
gzip-binary-size,wasm,floyd-warshall,13623
gzip-binary-size,wasm,nussinov,13699
gzip-binary-size,wasm,deriche,13814
gzip-binary-size,wasm,heat-3d,13766
gzip-binary-size,wasm,seidel-2d,13668
gzip-binary-size,wasm,jacobi-2d,13661
gzip-binary-size,wasm,adi,14122
gzip-binary-size,wasm,fdtd-2d,13840
gzip-binary-size,wasm,jacobi-1d,13546
