type,name,test,value
gzip-binary-size,wasmsimd,covariance,13720
gzip-binary-size,wasmsimd,correlation,13836
gzip-binary-size,wasmsimd,mvt,13679
gzip-binary-size,wasmsimd,bicg,13703
gzip-binary-size,wasmsimd,doitgen,13734
gzip-binary-size,wasmsimd,2mm,13846
gzip-binary-size,wasmsimd,atax,13675
gzip-binary-size,wasmsimd,3mm,13886
gzip-binary-size,wasmsimd,gesummv,13664
gzip-binary-size,wasmsimd,syrk,13690
gzip-binary-size,wasmsimd,gemm,13709
gzip-binary-size,wasmsimd,syr2k,13757
gzip-binary-size,wasmsimd,trmm,13733
gzip-binary-size,wasmsimd,gemver,13760
gzip-binary-size,wasmsimd,symm,13825
gzip-binary-size,wasmsimd,trisolv,13728
gzip-binary-size,wasmsimd,durbin,13646
gzip-binary-size,wasmsimd,ludcmp,14147
gzip-binary-size,wasmsimd,gramschmidt,13823
gzip-binary-size,wasmsimd,cholesky,13918
gzip-binary-size,wasmsimd,lu,13915
gzip-binary-size,wasmsimd,floyd-warshall,13731
gzip-binary-size,wasmsimd,nussinov,13870
gzip-binary-size,wasmsimd,deriche,13954
gzip-binary-size,wasmsimd,heat-3d,13885
gzip-binary-size,wasmsimd,seidel-2d,13697
gzip-binary-size,wasmsimd,jacobi-2d,13767
gzip-binary-size,wasmsimd,adi,14168
gzip-binary-size,wasmsimd,fdtd-2d,14001
gzip-binary-size,wasmsimd,jacobi-1d,13631
