type,name,test,value
gzip-binary-size,x8664generic,covariance,3477
gzip-binary-size,x8664generic,correlation,3804
gzip-binary-size,x8664generic,mvt,3393
gzip-binary-size,x8664generic,bicg,3360
gzip-binary-size,x8664generic,doitgen,3911
gzip-binary-size,x8664generic,2mm,3520
gzip-binary-size,x8664generic,atax,3484
gzip-binary-size,x8664generic,3mm,3598
gzip-binary-size,x8664generic,gesummv,3250
gzip-binary-size,x8664generic,syrk,3880
gzip-binary-size,x8664generic,gemm,3567
gzip-binary-size,x8664generic,syr2k,3937
gzip-binary-size,x8664generic,trmm,3513
gzip-binary-size,x8664generic,gemver,3887
gzip-binary-size,x8664generic,symm,3866
gzip-binary-size,x8664generic,trisolv,3261
gzip-binary-size,x8664generic,durbin,3488
gzip-binary-size,x8664generic,ludcmp,4374
gzip-binary-size,x8664generic,gramschmidt,3629
gzip-binary-size,x8664generic,cholesky,3988
gzip-binary-size,x8664generic,lu,3975
gzip-binary-size,x8664generic,floyd-warshall,3465
gzip-binary-size,x8664generic,nussinov,3576
gzip-binary-size,x8664generic,deriche,3956
gzip-binary-size,x8664generic,heat-3d,3747
gzip-binary-size,x8664generic,seidel-2d,3205
gzip-binary-size,x8664generic,jacobi-2d,3443
gzip-binary-size,x8664generic,adi,3998
gzip-binary-size,x8664generic,fdtd-2d,4258
gzip-binary-size,x8664generic,jacobi-1d,3386
