type,name,test,value
initialization-time,nodejs,covariance,0.029674892997718416
initialization-time,nodejs,correlation,0.03259579299992765
initialization-time,nodejs,mvt,0.03290006300085224
initialization-time,nodejs,bicg,0.03278062100071111
initialization-time,nodejs,doitgen,0.0338289569990593
initialization-time,nodejs,2mm,0.03704046699931496
initialization-time,nodejs,atax,0.041473834000498755
initialization-time,nodejs,3mm,0.03829312800007756
initialization-time,nodejs,gesummv,0.03655688800063217
initialization-time,nodejs,syrk,0.03429646900258376
initialization-time,nodejs,gemm,0.033166889999847626
initialization-time,nodejs,syr2k,0.03148914699704619
initialization-time,nodejs,trmm,0.033181996001076186
initialization-time,nodejs,gemver,0.035183380998205394
initialization-time,nodejs,symm,0.0341411049994349
initialization-time,nodejs,trisolv,0.03450665399941499
initialization-time,nodejs,durbin,0.032314770000084536
initialization-time,nodejs,ludcmp,0.03224675400269916
initialization-time,nodejs,gramschmidt,0.034503405000577914
initialization-time,nodejs,cholesky,0.034266368002136005
initialization-time,nodejs,lu,0.03439095900102984
initialization-time,nodejs,floyd-warshall,0.03323527400061721
initialization-time,nodejs,nussinov,0.032263782999507384
initialization-time,nodejs,deriche,0.03214565699818195
initialization-time,nodejs,heat-3d,0.031174709998595063
initialization-time,nodejs,seidel-2d,0.03335644899925683
initialization-time,nodejs,jacobi-2d,0.03482010799780255
initialization-time,nodejs,adi,0.03587735000110115
initialization-time,nodejs,fdtd-2d,0.03352719699978479
initialization-time,nodejs,jacobi-1d,0.03313853700092295
