type,name,test,value
initialization-time,nodejswasm,covariance,0.04221093600062886
initialization-time,nodejswasm,correlation,0.0429682239991962
initialization-time,nodejswasm,mvt,0.04112247400189517
initialization-time,nodejswasm,bicg,0.03902348099654773
initialization-time,nodejswasm,doitgen,0.04036185699806083
initialization-time,nodejswasm,2mm,0.03954566900210921
initialization-time,nodejswasm,atax,0.04144895400531823
initialization-time,nodejswasm,3mm,0.03954001800593687
initialization-time,nodejswasm,gesummv,0.037844243001018185
initialization-time,nodejswasm,syrk,0.03955243600648828
initialization-time,nodejswasm,gemm,0.04230670600372832
initialization-time,nodejswasm,syr2k,0.04166977499698987
initialization-time,nodejswasm,trmm,0.042001433997938875
initialization-time,nodejswasm,gemver,0.038147862993355375
initialization-time,nodejswasm,symm,0.04096060700248927
initialization-time,nodejswasm,trisolv,0.03873270400072215
initialization-time,nodejswasm,durbin,0.04133908900257666
initialization-time,nodejswasm,ludcmp,0.042362236003100406
initialization-time,nodejswasm,gramschmidt,0.04153326300001936
initialization-time,nodejswasm,cholesky,0.038323184999171644
initialization-time,nodejswasm,lu,0.038673838003887795
initialization-time,nodejswasm,floyd-warshall,0.03938757500145584
initialization-time,nodejswasm,nussinov,0.04097014400031185
initialization-time,nodejswasm,deriche,0.041738330997759476
initialization-time,nodejswasm,heat-3d,0.03889407800306799
initialization-time,nodejswasm,seidel-2d,0.038184122000529896
initialization-time,nodejswasm,jacobi-2d,0.04208411800209433
initialization-time,nodejswasm,adi,0.04179197700432269
initialization-time,nodejswasm,fdtd-2d,0.041150097000354435
initialization-time,nodejswasm,jacobi-1d,0.0413006779999705
