type,name,test,value
initialization-time,spidermonkey,covariance,0.02782021398888901
initialization-time,spidermonkey,correlation,0.026952070009429008
initialization-time,spidermonkey,mvt,0.026928909006528556
initialization-time,spidermonkey,bicg,0.027809150982648134
initialization-time,spidermonkey,doitgen,0.02813074504956603
initialization-time,spidermonkey,2mm,0.028353734989650548
initialization-time,spidermonkey,atax,0.030737541965208948
initialization-time,spidermonkey,3mm,0.031144942971877754
initialization-time,spidermonkey,gesummv,0.03142645099433139
initialization-time,spidermonkey,syrk,0.03014563804026693
initialization-time,spidermonkey,gemm,0.03023348201531917
initialization-time,spidermonkey,syr2k,0.03019139898242429
initialization-time,spidermonkey,trmm,0.028170798963401467
initialization-time,spidermonkey,gemver,0.03222512296633795
initialization-time,spidermonkey,symm,0.0323127509909682
initialization-time,spidermonkey,trisolv,0.03155575500568375
initialization-time,spidermonkey,durbin,0.03158295201137662
initialization-time,spidermonkey,ludcmp,0.028786280017811805
initialization-time,spidermonkey,gramschmidt,0.027975203993264586
initialization-time,spidermonkey,cholesky,0.0288892220123671
initialization-time,spidermonkey,lu,0.031041916052345186
initialization-time,spidermonkey,floyd-warshall,0.0333140260190703
initialization-time,spidermonkey,nussinov,0.03216316498583183
initialization-time,spidermonkey,deriche,0.030415543995331973
initialization-time,spidermonkey,heat-3d,0.030267999973148108
initialization-time,spidermonkey,seidel-2d,0.02857645897893235
initialization-time,spidermonkey,jacobi-2d,0.028503799985628575
initialization-time,spidermonkey,adi,0.03354545799084008
initialization-time,spidermonkey,fdtd-2d,0.034774481027852744
initialization-time,spidermonkey,jacobi-1d,0.03319369303062558
