type,name,test,value
initialization-time,spidermonkeywasm,covariance,0.03325571701861918
initialization-time,spidermonkeywasm,correlation,0.032605209038592875
initialization-time,spidermonkeywasm,mvt,0.031419290986377746
initialization-time,spidermonkeywasm,bicg,0.034453906991984695
initialization-time,spidermonkeywasm,doitgen,0.03319185198051855
initialization-time,spidermonkeywasm,2mm,0.03298896603519097
initialization-time,spidermonkeywasm,atax,0.03221273596864194
initialization-time,spidermonkeywasm,3mm,0.031849510967731476
initialization-time,spidermonkeywasm,gesummv,0.031547721999231726
initialization-time,spidermonkeywasm,syrk,0.031393230019602925
initialization-time,spidermonkeywasm,gemm,0.033851972955744714
initialization-time,spidermonkeywasm,syr2k,0.03539200499653816
initialization-time,spidermonkeywasm,trmm,0.03358925599604845
initialization-time,spidermonkeywasm,gemver,0.03524563799146563
initialization-time,spidermonkeywasm,symm,0.034070099995005876
initialization-time,spidermonkeywasm,trisolv,0.03249631996732205
initialization-time,spidermonkeywasm,durbin,0.030339065997395664
initialization-time,spidermonkeywasm,ludcmp,0.032999179034959525
initialization-time,spidermonkeywasm,gramschmidt,0.03424800903303549
initialization-time,spidermonkeywasm,cholesky,0.039340668998192996
initialization-time,spidermonkeywasm,lu,0.03283361002104357
initialization-time,spidermonkeywasm,floyd-warshall,0.0313483199570328
initialization-time,spidermonkeywasm,nussinov,0.031409849994815886
initialization-time,spidermonkeywasm,deriche,0.0330457070376724
initialization-time,spidermonkeywasm,heat-3d,0.034031179966405034
initialization-time,spidermonkeywasm,seidel-2d,0.035308549006003886
initialization-time,spidermonkeywasm,jacobi-2d,0.033425157016608864
initialization-time,spidermonkeywasm,adi,0.03372299502370879
initialization-time,spidermonkeywasm,fdtd-2d,0.03452821698738262
initialization-time,spidermonkeywasm,jacobi-1d,0.03506419202312827
