type,name,test,value
initialization-time,wasmer,covariance,0.06048268699669279
initialization-time,wasmer,correlation,0.06198633999883896
initialization-time,wasmer,mvt,0.06306056399625959
initialization-time,wasmer,bicg,0.06498307100264356
initialization-time,wasmer,doitgen,0.0646984289996908
initialization-time,wasmer,2mm,0.06253883200406563
initialization-time,wasmer,atax,0.060441733003244735
initialization-time,wasmer,3mm,0.06262503699690569
initialization-time,wasmer,gesummv,0.06632307400286663
initialization-time,wasmer,syrk,0.06431661899841856
initialization-time,wasmer,gemm,0.05876771199837094
initialization-time,wasmer,syr2k,0.06291903099918272
initialization-time,wasmer,trmm,0.06393227799708256
initialization-time,wasmer,gemver,0.06152730400208384
initialization-time,wasmer,symm,0.06239140500110807
initialization-time,wasmer,trisolv,0.06330874600098468
initialization-time,wasmer,durbin,0.06420395199529594
initialization-time,wasmer,ludcmp,0.06334133999916958
initialization-time,wasmer,gramschmidt,0.0617531429961673
initialization-time,wasmer,cholesky,0.06440774600196164
initialization-time,wasmer,lu,0.06511383400356863
initialization-time,wasmer,floyd-warshall,0.0660242300000391
initialization-time,wasmer,nussinov,0.06034471599559765
initialization-time,wasmer,deriche,0.0637123580017942
initialization-time,wasmer,heat-3d,0.06346036700415425
initialization-time,wasmer,seidel-2d,0.059883777001232374
initialization-time,wasmer,jacobi-2d,0.05964516299718525
initialization-time,wasmer,adi,0.0668053699992015
initialization-time,wasmer,fdtd-2d,0.06244890900416067
initialization-time,wasmer,jacobi-1d,0.060185059999639634
