type,name,test,value
initialization-time,wasmerllvm,covariance,0.7145631299936213
initialization-time,wasmerllvm,correlation,0.6699570199998561
initialization-time,wasmerllvm,mvt,0.6646846529984032
initialization-time,wasmerllvm,bicg,0.6627001489978284
initialization-time,wasmerllvm,doitgen,0.6494012600014685
initialization-time,wasmerllvm,2mm,0.6732834860013099
initialization-time,wasmerllvm,atax,0.6718930670031114
initialization-time,wasmerllvm,3mm,0.6851486589948763
initialization-time,wasmerllvm,gesummv,0.66004191400134
initialization-time,wasmerllvm,syrk,0.6664412379977875
initialization-time,wasmerllvm,gemm,0.6688764470018214
initialization-time,wasmerllvm,syr2k,0.6672943560042768
initialization-time,wasmerllvm,trmm,0.6803256499988493
initialization-time,wasmerllvm,gemver,0.689769326003443
initialization-time,wasmerllvm,symm,0.6810106070042821
initialization-time,wasmerllvm,trisolv,0.6702377690016874
initialization-time,wasmerllvm,durbin,0.67963158099883
initialization-time,wasmerllvm,ludcmp,0.6914250970003195
initialization-time,wasmerllvm,gramschmidt,0.6812943859986262
initialization-time,wasmerllvm,cholesky,0.685949493003136
initialization-time,wasmerllvm,lu,0.6913156800001161
initialization-time,wasmerllvm,floyd-warshall,0.6815128940070281
initialization-time,wasmerllvm,nussinov,0.6814972670035786
initialization-time,wasmerllvm,deriche,0.6964106030063704
initialization-time,wasmerllvm,heat-3d,0.703478379000444
initialization-time,wasmerllvm,seidel-2d,0.6797408939964953
initialization-time,wasmerllvm,jacobi-2d,0.6784904390005977
initialization-time,wasmerllvm,adi,0.7034632979994058
initialization-time,wasmerllvm,fdtd-2d,0.6961767629982205
initialization-time,wasmerllvm,jacobi-1d,0.6896771200044896
