type,name,test,value
initialization-time,wasmersinglepass,covariance,0.013457778000883991
initialization-time,wasmersinglepass,correlation,0.013870790997316362
initialization-time,wasmersinglepass,mvt,0.014074610000534449
initialization-time,wasmersinglepass,bicg,0.014417442998819752
initialization-time,wasmersinglepass,doitgen,0.014540732998284511
initialization-time,wasmersinglepass,2mm,0.01476421100232983
initialization-time,wasmersinglepass,atax,0.014748129000508925
initialization-time,wasmersinglepass,3mm,0.014722767999046482
initialization-time,wasmersinglepass,gesummv,0.014632466998591553
initialization-time,wasmersinglepass,syrk,0.014657594998425338
initialization-time,wasmersinglepass,gemm,0.014814397000009194
initialization-time,wasmersinglepass,syr2k,0.014738994002982508
initialization-time,wasmersinglepass,trmm,0.014674355999886757
initialization-time,wasmersinglepass,gemver,0.01579713400133187
initialization-time,wasmersinglepass,symm,0.017116849001467926
initialization-time,wasmersinglepass,trisolv,0.017821047000325052
initialization-time,wasmersinglepass,durbin,0.016759098001784878
initialization-time,wasmersinglepass,ludcmp,0.018791340000461787
initialization-time,wasmersinglepass,gramschmidt,0.016982739998638863
initialization-time,wasmersinglepass,cholesky,0.018881502001022454
initialization-time,wasmersinglepass,lu,0.017370245997881284
initialization-time,wasmersinglepass,floyd-warshall,0.01635405500201159
initialization-time,wasmersinglepass,nussinov,0.015147815996897407
initialization-time,wasmersinglepass,deriche,0.016271723001409555
initialization-time,wasmersinglepass,heat-3d,0.015276760001142975
initialization-time,wasmersinglepass,seidel-2d,0.015596176002873108
initialization-time,wasmersinglepass,jacobi-2d,0.016636517000733875
initialization-time,wasmersinglepass,adi,0.016626665001240326
initialization-time,wasmersinglepass,fdtd-2d,0.017380782999680378
initialization-time,wasmersinglepass,jacobi-1d,0.01725843900203472
