type,name,test,value
initialization-time,wasmtimecranelift,covariance,0.08100310599999716
initialization-time,wasmtimecranelift,correlation,0.07343852500000025
initialization-time,wasmtimecranelift,mvt,0.07689404500000308
initialization-time,wasmtimecranelift,bicg,0.0725930339999934
initialization-time,wasmtimecranelift,doitgen,0.07578764999999521
initialization-time,wasmtimecranelift,2mm,0.07635456699999565
initialization-time,wasmtimecranelift,atax,0.08548079699998823
initialization-time,wasmtimecranelift,3mm,0.07752790199999993
initialization-time,wasmtimecranelift,gesummv,0.07576447299999245
initialization-time,wasmtimecranelift,syrk,0.07135030599999936
initialization-time,wasmtimecranelift,gemm,0.0770673439999996
initialization-time,wasmtimecranelift,syr2k,0.0842321930000054
initialization-time,wasmtimecranelift,trmm,0.0718009640000048
initialization-time,wasmtimecranelift,gemver,0.07407256000000473
initialization-time,wasmtimecranelift,symm,0.07384196499999973
initialization-time,wasmtimecranelift,trisolv,0.0697667949999925
initialization-time,wasmtimecranelift,durbin,0.08215194499999257
initialization-time,wasmtimecranelift,ludcmp,0.07908230299999275
initialization-time,wasmtimecranelift,gramschmidt,0.07905560800000444
initialization-time,wasmtimecranelift,cholesky,0.07593082000001061
initialization-time,wasmtimecranelift,lu,0.07962031000000991
initialization-time,wasmtimecranelift,floyd-warshall,0.07338949500000069
initialization-time,wasmtimecranelift,nussinov,0.07497861600000988
initialization-time,wasmtimecranelift,deriche,0.07198905600000671
initialization-time,wasmtimecranelift,heat-3d,0.08111266200000955
initialization-time,wasmtimecranelift,seidel-2d,0.07157058500000346
initialization-time,wasmtimecranelift,jacobi-2d,0.07686060500000735
initialization-time,wasmtimecranelift,adi,0.08449331699999618
initialization-time,wasmtimecranelift,fdtd-2d,0.0713907940000098
initialization-time,wasmtimecranelift,jacobi-1d,0.07697730499999977
