type,name,test,value
initialization-time,wasmtimecraneliftoptimized,covariance,0.14929073199891718
initialization-time,wasmtimecraneliftoptimized,correlation,0.14033767499859096
initialization-time,wasmtimecraneliftoptimized,mvt,0.16567041099915514
initialization-time,wasmtimecraneliftoptimized,bicg,0.14340595900284825
initialization-time,wasmtimecraneliftoptimized,doitgen,0.14377534899904276
initialization-time,wasmtimecraneliftoptimized,2mm,0.1377951220019895
initialization-time,wasmtimecraneliftoptimized,atax,0.14524240199898486
initialization-time,wasmtimecraneliftoptimized,3mm,0.16327449399977922
initialization-time,wasmtimecraneliftoptimized,gesummv,0.1458301950005989
initialization-time,wasmtimecraneliftoptimized,syrk,0.16338006700243568
initialization-time,wasmtimecraneliftoptimized,gemm,0.14938259100017603
initialization-time,wasmtimecraneliftoptimized,syr2k,0.14064422299998114
initialization-time,wasmtimecraneliftoptimized,trmm,0.15360471800158848
initialization-time,wasmtimecraneliftoptimized,gemver,0.1554308630002197
initialization-time,wasmtimecraneliftoptimized,symm,0.1469126080010028
initialization-time,wasmtimecraneliftoptimized,trisolv,0.14369928499945672
initialization-time,wasmtimecraneliftoptimized,durbin,0.14962669300075504
initialization-time,wasmtimecraneliftoptimized,ludcmp,0.14136010199945304
initialization-time,wasmtimecraneliftoptimized,gramschmidt,0.14376097399872378
initialization-time,wasmtimecraneliftoptimized,cholesky,0.15912188199945376
initialization-time,wasmtimecraneliftoptimized,lu,0.14252112499889336
initialization-time,wasmtimecraneliftoptimized,floyd-warshall,0.14123047400062205
initialization-time,wasmtimecraneliftoptimized,nussinov,0.1444731169976876
initialization-time,wasmtimecraneliftoptimized,deriche,0.14586929300276097
initialization-time,wasmtimecraneliftoptimized,heat-3d,0.148718614000245
initialization-time,wasmtimecraneliftoptimized,seidel-2d,0.15087515200139023
initialization-time,wasmtimecraneliftoptimized,jacobi-2d,0.1440714839991415
initialization-time,wasmtimecraneliftoptimized,adi,0.15060957899913774
initialization-time,wasmtimecraneliftoptimized,fdtd-2d,0.1515671739980462
initialization-time,wasmtimecraneliftoptimized,jacobi-1d,0.14457958399725612
