type,name,test,value
initialization-time,wavm,covariance,0.3503247759981605
initialization-time,wavm,correlation,0.34900026700051967
initialization-time,wavm,mvt,0.34843849999742815
initialization-time,wavm,bicg,0.34845896499973605
initialization-time,wavm,doitgen,0.34721071400053916
initialization-time,wavm,2mm,0.3493834999972023
initialization-time,wavm,atax,0.34592163100023754
initialization-time,wavm,3mm,0.3538177220034413
initialization-time,wavm,gesummv,0.3466667519969633
initialization-time,wavm,syrk,0.34814163799819653
initialization-time,wavm,gemm,0.35299389899955713
initialization-time,wavm,syr2k,0.3467222369981755
initialization-time,wavm,trmm,0.3477258580023772
initialization-time,wavm,gemver,0.3518619700007548
initialization-time,wavm,symm,0.35505588999876636
initialization-time,wavm,trisolv,0.3461991410003975
initialization-time,wavm,durbin,0.34568875200056937
initialization-time,wavm,ludcmp,0.35596067199730896
initialization-time,wavm,gramschmidt,0.35286636800083215
initialization-time,wavm,cholesky,0.35146187800273765
initialization-time,wavm,lu,0.3585452549996262
initialization-time,wavm,floyd-warshall,0.3507579370016174
initialization-time,wavm,nussinov,0.3623576589998265
initialization-time,wavm,deriche,0.35341292299926863
initialization-time,wavm,heat-3d,0.3501440529980755
initialization-time,wavm,seidel-2d,0.3542490999971051
initialization-time,wavm,jacobi-2d,0.3551144990015018
initialization-time,wavm,adi,0.3613710620011261
initialization-time,wavm,fdtd-2d,0.3640449650010851
initialization-time,wavm,jacobi-1d,0.3566191419995448
