type,name,test,value
initialization-time,x8664generic,covariance,0.004486085999815259
initialization-time,x8664generic,correlation,0.0038635910023003817
initialization-time,x8664generic,mvt,0.003773323998757405
initialization-time,x8664generic,bicg,0.004432817000633804
initialization-time,x8664generic,doitgen,0.0041122129987343214
initialization-time,x8664generic,2mm,0.00710951700239093
initialization-time,x8664generic,atax,0.004173373999947216
initialization-time,x8664generic,3mm,0.0040796859975671396
initialization-time,x8664generic,gesummv,0.004200357998342952
initialization-time,x8664generic,syrk,0.004087250999873504
initialization-time,x8664generic,gemm,0.00408043100105715
initialization-time,x8664generic,syr2k,0.004135412000323413
initialization-time,x8664generic,trmm,0.004051904001244111
initialization-time,x8664generic,gemver,0.0040018580002652016
initialization-time,x8664generic,symm,0.00397365900062141
initialization-time,x8664generic,trisolv,0.004005349001090508
initialization-time,x8664generic,durbin,0.003967405998992035
initialization-time,x8664generic,ludcmp,0.0039188129994727205
initialization-time,x8664generic,gramschmidt,0.0038977130025159568
initialization-time,x8664generic,cholesky,0.003996226001618197
initialization-time,x8664generic,lu,0.003984581999247894
initialization-time,x8664generic,floyd-warshall,0.003987131000030786
initialization-time,x8664generic,nussinov,0.003915270001016324
initialization-time,x8664generic,deriche,0.004939313999784645
initialization-time,x8664generic,heat-3d,0.0073014200024772435
initialization-time,x8664generic,seidel-2d,0.005058677001215983
initialization-time,x8664generic,jacobi-2d,0.007831302998965839
initialization-time,x8664generic,adi,0.0064565800021227915
initialization-time,x8664generic,fdtd-2d,0.006261755999730667
initialization-time,x8664generic,jacobi-1d,0.005900891999772284
